City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tadine,NC,2021-12-17 19:31:10,-21.55,167.8833,75.79,68,53,11.83
68,Kodiak,US,2021-12-17 19:27:55,57.79,-152.4072,33.31,69,1,9.22
69,Turkan,AZ,2021-12-17 19:31:11,40.3639,50.215,44.78,87,0,4.61
70,Udachnyy,RU,2021-12-17 19:31:11,66.4167,112.4,-38.56,72,100,3.0
71,Yafran,LY,2021-12-17 19:31:11,32.0633,12.5286,47.05,74,33,3.58
72,Ostrovnoy,RU,2021-12-17 19:31:12,68.0531,39.5131,13.68,94,92,5.77
73,Taywarah,AF,2021-12-17 19:31:12,33.35,64.4167,24.26,10,0,1.5
74,Severo-Kurilsk,RU,2021-12-17 19:31:13,50.6789,156.125,27.39,88,100,29.8
75,Sioux Lookout,CA,2021-12-17 19:31:13,50.1001,-91.917,7.18,85,90,0.0
76,Orange,US,2021-12-17 19:29:25,33.7,-117.7675,67.82,52,1,1.99
77,Nikolskoye,RU,2021-12-17 19:31:13,59.7035,30.7861,31.89,99,91,4.56
78,Chitapur,IN,2021-12-17 19:31:14,17.1167,77.0833,63.46,52,15,7.63
79,Taoudenni,ML,2021-12-17 19:31:14,22.6783,-3.9836,82.58,18,99,7.23
80,Ambilobe,MG,2021-12-17 19:31:14,-13.2,49.05,75.47,86,32,2.55
81,Butaritari,KI,2021-12-17 19:31:15,3.0707,172.7902,81.99,79,21,16.98
82,Bull Savanna,JM,2021-12-17 19:31:15,17.8868,-77.5902,81.27,62,14,18.03
83,Saskylakh,RU,2021-12-17 19:31:15,71.9167,114.0833,-35.99,100,96,5.95
84,Porto Novo,BJ,2021-12-17 19:31:16,6.4965,2.6036,84.02,74,23,7.65
85,Tuktoyaktuk,CA,2021-12-17 19:31:16,69.4541,-133.0374,-16.6,76,90,11.5
86,Tiksi,RU,2021-12-17 19:31:16,71.6872,128.8694,-23.35,100,100,3.09
